1 value means positive comments and 0 value means negative comments,,,,,,,,,"whenever use this dataset refer : Singh, S. K., & Sachan, M. K. (2021, November). Acquisition and Development of Code-Mixed Corpus for Sentiment Analysis of Resource-Scarce Languages. In 2021 International Conference on Disruptive Technologies for Multi-Disciplinary Research and Applications (CENTCON) (Vol. 1, pp. 70-74). IEEE.",,,,,,,,,,,,,
1,"28% gst on machinery goods and parts and accessories is exhorbitant for SMEs as it adds 30% to the cost against earlier vat if 14.5%. Govt will do well to keep the gst at 12% on all goods manufactured by SMEs with TO of less than 1.5%. include all numbered products of SME's to come out of red. Categorise them as ""Machinery, parts & Accessories"".",,,,,,,,,,,,,,,,,,,,,
0,28% slab on electronic goods is very high and not logical     Govt is in lost due to no business   Please do correct,,,,,,,,,,,,,,,,,,,,,
0,A bud takes time to blossom. Constructing smthng takes time. Rennovating a bhoot bangla reigned by ghosts witches and vultures for decades will take time of ciurse. Doesnt dawn take time to become day?,,,,,,,,,,,,,,,,,,,,,
0,A disappointed one as per as textile industry concerned .. just visit any of the textile park and see how many factories closed after implementation of GST rater than roaming around the world,,,,,,,,,,,,,,,,,,,,,
0,A fool is ruling INDIA,,,,,,,,,,,,,,,,,,,,,
0,A new approach needs change as per practical difficulties and inconvenience faced till it is stabilized. No door for evil minds should always be closed..,,,,,,,,,,,,,,,,,,,,,
0,A sport like 🎳 tenpin bowling is considered as luxury and entertainment and gst for same is 28%  how is it affordable and how can India win big in Asian games if we don't support the game . Currently we have only 4 international chamipions for this sport. Please reconsider.,,,,,,,,,,,,,,,,,,,,,
0,Accept the truth your govt is not capable enough to handle serious issues like demonetization and GST. Our economy is facing serious issues because of your idiotic decisions.,,,,,,,,,,,,,,,,,,,,,
0,"Actually I am a big fan of BJP & Modi, but you(Modi) are making things tough day by day. If you don't make things easy for the common people it will be really tough to win there hearts again. I'm from bangalore, you call it as smart city, but still we are dying for proper roads and sanitary systems. Still we are struggling for basics facilities. This is not the way you have to work. I suggest you to implement working style for the city like corporate, give responsibility to the young people who have the will power and genuine to keep their area basic facilities like roads and drainage clean. I'm ready to involve in such kind of social work provided you give proper funding and support. This kind of zeal is burning in me, but unable and unfortunate I cannot do anything with out help from you. Come out to the grass roots listen to the people who give you genuine ideas and who have the will power to change. Politicians and corporaters are here just to make money they have invested while elections. They can never bring change. That is the reason I am giving you this kind of suggestion. As a citizen I have all the right to suggest you, I have done my duty suggesting you as a PM its your turn to think and implement.",,,,,,,,,,,,,,,,,,,,,
0,Lost hope in this government.  Only speeches,,,,,,,,,,,,,,,,,,,,,
0,All the food items should not be taxable,,,,,,,,,,,,,,,,,,,,,
0,any new taxation system introduced will initially have teething troubles. The industry will be concerned about the cost & pricing impact  on their products .the govt will be concerned on the revenues it is going to generate & the ultimate consumer will be worried about his pockets or his budget.it will take atleast a yo to sett,,,,,,,,,,,,,,,,,,,,,
0,Are you experimenting with India   Demoneitization   everyday you made new rules   Gst don't you know how to implement it   If you are not capable then why don't you accept it,,,,,,,,,,,,,,,,,,,,,
0,"as for composition limit (1crore ) is concerned , iam sorry to say but y u make indiscrimination between hilly states like himachal where composition limit is stiil 75 lakhs n other plain states like punjab where limit is 1 crore",,,,,,,,,,,,,,,,,,,,,
0,"As it was implemented as a mess, there are so many changes required which was not taken into consideration. Now after massive protests and requests they are listening.",,,,,,,,,,,,,,,,,,,,,
0,At 1st the government announced that its 1 nation and 1 tax but there is 2 seperate tax as CGST and SGST that must be corrected,,,,,,,,,,,,,,,,,,,,,
0,At GST launch event. U discussed about GST only. Then from where this CGST came. Why we are paying two taxes at a time.   U should launch the wages schemes as STATE SALARY & CENTRAL SALARY. Do think about salaried people also.   ₹-910 k total bill main ₹-145 SGST+CGST. It seems State and Central they both had dinner with me.  सही खेल रहे हो।,,,,,,,,,,,,,,,,,,,,,
0,Atleast now please stop calling it good and simple tax.  If it was simple and good you will not be doing these changes in the first place.,,,,,,,,,,,,,,,,,,,,,
0,Atleast on restaurant the GST should be removed. it's really expensive on a common man wallet.,,,,,,,,,,,,,,,,,,,,,
0,Bad Discussion Of Gst implementation,,,,,,,,,,,,,,,,,,,,,
0,"Before GST Railway tickets rules were easy. But now only point to point tickets are available. If anyone wants extension on reservation tickets, it is not possible now.",,,,,,,,,,,,,,,,,,,,,
0,Best way to fool the people of india,,,,,,,,,,,,,,,,,,,,,
0,"Better to bring someone else as FM..Jataliji has failed in seamless implementation of economic policies...the truth is poors and small traders are facing problems not only in cities but in villages also...when i talk to people they are saying economy is badly impacted....no busines, loss of jobs...pls do something you being a great PM of India so far...",,,,,,,,,,,,,,,,,,,,,
0,Big gap between what people want and what they get. All govt. initiatives going waste.,,,,,,,,,,,,,,,,,,,,,
0,BJP govt is Killing the Middle class and Increasing the income for Indian Billianairs.,,,,,,,,,,,,,,,,,,,,,
0,BJP is scared. it's precautions taken for 2019 election... n m sure thy r nt gone be a ruling party thn,,,,,,,,,,,,,,,,,,,,,
0,bjp worst ever govt,,,,,,,,,,,,,,,,,,,,,
0,Boss u need to work a lot on Gst implementation...!!,,,,,,,,,,,,,,,,,,,,,
0,Businessman are very upset.,,,,,,,,,,,,,,,,,,,,,
0,But still much to go  Still its very tuff for common man    Why tds is not removed from job charges,,,,,,,,,,,,,,,,,,,,,
0,But Taxtile Industry is still in the lukewarm.  Truck Drivers may go on strike.,,,,,,,,,,,,,,,,,,,,,
0,"But why u r applying more n more taxes on those who work hard....U want to give to those who dont work,who hv 10 children nd hope tht we will do for them",,,,,,,,,,,,,,,,,,,,,
0,"Common man confused!!!! You still need to learn, unlearn and relearn Mr. PM",,,,,,,,,,,,,,,,,,,,,
0,Compliance of G.S.T.law is very cumbersome.It should be accesable and easy to all categories of traders.,,,,,,,,,,,,,,,,,,,,,
0,"Corruption is unabated in govt, whatever any politician says",,,,,,,,,,,,,,,,,,,,,
0,Crook after sucking  poor  people's money for 3 years now doling benefits just to garner votes for 2019. N then again suck for nxt 3 yrs he has already screwed savings of many poor n middle class to the throat extent. Such rascals of rotten eggs FM n PM of India,,,,,,,,,,,,,,,,,,,,,
0,"Damage has been done....Mr PM. Please cut the subsidy of Parliament canteen. pay pension to MPs, MLA only after 16 years of service , why MPs and mlas are eligible for pension even they hold post for one day.. where is black money, why no action on adani for round tripping of money from tax Haven's as exposed by Australian media. Pls come prepared with for 2019 elections ...",,,,,,,,,,,,,,,,,,,,,
0,Damage is already done and real profit is already given to those whom you owes...,,,,,,,,,,,,,,,,,,,,,
0,Dear PM  Please make a easy billing process   We want to do all work by our hands  Not by CA  Please think  We want to sell  Dont want want to sit on computer,,,,,,,,,,,,,,,,,,,,,
0,"Dear PM, do auction  of properties of currept people and collect funds. You will never be short of it.",,,,,,,,,,,,,,,,,,,,,
0,"Dont congratulate to Arun Jaitely, He is digging your grave by this kind of paralysis policies. Already done big damage.",,,,,,,,,,,,,,,,,,,,,
0,"Don't thnk people  live in fool's paradise, your ego will be pay you badly",,,,,,,,,,,,,,,,,,,,,
0,"During 2014 election , Govt promised to control the goods and pertol rates . Nothing has happened on this line . In fact rates are increasing day by day ..",,,,,,,,,,,,,,,,,,,,,
0,Economy  depends on gross routs . Almost all are jobless and your govt still think.only of collecting tax ...never thought of improving the revenues .....india strength is the savings and we don't use plastic cards ..niw u following the failed western economy ....  so sad sir,,,,,,,,,,,,,,,,,,,,,
0,"Economy dont compensate mistakes , leaders has to predict exact situation and plan it , sound plans are not going to work.....",,,,,,,,,,,,,,,,,,,,,
0,"Even after six months of passing Goods and Services Tax (GST), manufacturers, and traders are continuing to fleece customers.  They charge GST  on Maximum Retail Price (MRP), which includes ""all taxes"".  Selling a product over and above MRP is a violation of the anti-profiteering clauses of the GST Act.   This may lead to cancellation of registration of the retailer.  But retailers say the government has given companies time till 30 September to clear unsold pre-GST goods.  So till October 1, consumers will have to pay the old taxes, and GST as well!!",,,,,,,,,,,,,,,,,,,,,
0,Even GST has now become an election tool. Shame.,,,,,,,,,,,,,,,,,,,,,
0,Every day we are losing our money in petrol & diesal. Thanks to our PM for keeping no strong opposition,,,,,,,,,,,,,,,,,,,,,
0,"Every step against the common people in favour of capitalist is,nt it ?",,,,,,,,,,,,,,,,,,,,,
0,Everything got costlier than before! Worst ever time for layman! #GST,,,,,,,,,,,,,,,,,,,,,
0,Fake fake and feku,,,,,,,,,,,,,,,,,,,,,
0,Fake policy by this Govt only benefit to bigger industrialists,,,,,,,,,,,,,,,,,,,,,
0,Fake you,,,,,,,,,,,,,,,,,,,,,
0,Foolish decisions from a group of baboon.,,,,,,,,,,,,,,,,,,,,,
0,Government policies are not in favour of common man... Modijiii should think twice thrice before they implement....,,,,,,,,,,,,,,,,,,,,,
0,Gst  is waste all rate are same nothing had changed,,,,,,,,,,,,,,,,,,,,,
0,Gst becomes harder.. each nd every product price increase in all market...,,,,,,,,,,,,,,,,,,,,,
0,Gst is a total disaster as yet,,,,,,,,,,,,,,,,,,,,,
0,GST is again big flop model after demonitorisation.    GST helps only for corporates not for common man they are looting people officially,,,,,,,,,,,,,,,,,,,,,
0,GST is an unccoked food served by Govt.  No choice only to eat and take Digen.  📖📒📑📓📚,,,,,,,,,,,,,,,,,,,,,
0,GST is cheating it should be generalized. We pay income tax sales tax excise n on top of it GST we feel cheated when we eat in a restaurant or wherever on bill we see the GST.!!!😊😊😊,,,,,,,,,,,,,,,,,,,,,
0,GST is useless with common man bearing the most. I regret for encouraging people to vote for bjp,,,,,,,,,,,,,,,,,,,,,
0,GST now day making confusing for people's of india....in the name of Gst shops are taking advantage from poor people by imposing high rate pf commodity prices....,,,,,,,,,,,,,,,,,,,,,
0,GST very very bad,,,,,,,,,,,,,,,,,,,,,
0,Hopeless governance.,,,,,,,,,,,,,,,,,,,,,
0,"I disagree. For lousy government services, it is a sin to collect taxes. Either fire corrupt government officials or make our country tax free. I hate to pay taxes for making government officials and politicians rich.",,,,,,,,,,,,,,,,,,,,,
0,If u guys have little shame plZZZ go back n join ramdev baba company...Dnt spoil indian economy ...Where the hell is 50 days Walla din...N where the hell is black money ....U guys r total useless n failure,,,,,,,,,,,,,,,,,,,,,
0,If we really love our nation we must start campaign to defeat BJP Gujarat election,,,,,,,,,,,,,,,,,,,,,
0,"In india very  high tax rate ,poor people lot facing lot of problems",,,,,,,,,,,,,,,,,,,,,
0,Indian economy down just because of you,,,,,,,,,,,,,,,,,,,,,
0,indirectly tax rate is increased..by GST,,,,,,,,,,,,,,,,,,,,,
0,It is a Government of Fools. Every time they make foolish mistakes and then try to correct the same. Is this acceptable. Can the Indian Armed forces take wrong decisions loose lives and then try to correct them. If that is not acceptable then why repeated mistakes by the Government be accepted. This is a totally incompetent group with no experience to govern.They are making a fool of the Indian public,,,,,,,,,,,,,,,,,,,,,
0,"It is confusing day by day. Govt was in short of foresightedness. Till lots of things have to be made to make it really simple. There are so many rates, so many conditional rates, so many dates. It's really poor show by the Govt. Yesterday's change of retun dates for persons having <1.50 crores turnover will make life difficult for all category of traders. Atleast make a unique quarterly Return date for all types of taxable persons otherwise it will be more complex for everyone.",,,,,,,,,,,,,,,,,,,,,
0,It is not sufficient you should be do big change in GST it's not enough,,,,,,,,,,,,,,,,,,,,,
0,"It is the common man who is the suffering the cost of high prices for everything, vegetables,dal, rice, etc, cost of traveling, had the government cut tax on fuel every product would be cheaper by 35%.. GST revision was not in interest of common man. Prices are going up but income is not changing. If the government is collecting taxes the people need the benefits.these decisions are not benefitting the common man... Government says it has given gas, light connections to a few lakh people but what about the millions of people,? you are removing subsidy, slowly increasing fuel prices this is a nation of poor, middle class people and your policies does not benefit them... Jaitley must resign.... He is making decisions like he is a minister of a very rich country....",,,,,,,,,,,,,,,,,,,,,
0,"its idiotic decision ; your gov is not able to hand policies like GST and DEMONITISATION , GDP goes down below 6 , you and your policy equally responsible for it,  make a proper plan before implementing any policy as it affect 125 caror people",,,,,,,,,,,,,,,,,,,,,
0,Its Not simple dear for low income people like me where ever I go they asking for only cash if not they demand more money and ever seller telling Rates hiked because of GST. all economic range items prices went up ex: Detergent Cake 28% tax  no body asked for this   Dimonds tax 3% who will buy diamonds we all need detergents this is a simple example only all most all having the same cooking Gas Price hikes always you people said go cashless but sellers said no cashless,,,,,,,,,,,,,,,,,,,,,
0,Its really good step ahead for reform and perform. Appreciate the effort for looking at painful areas and rectifying it This is how evolution takes place..  Good Job (y),,,,,,,,,,,,,,,,,,,,,
0,It's really gr8 to see government is always open for correction in laws so as to ease life of common ppls and also ready acknowledge government mistake and ready to correct them,,,,,,,,,,,,,,,,,,,,,
0,It's very late now. All are suffering from GST,,,,,,,,,,,,,,,,,,,,,
0,"It's worst and un happy taxes to Indian people, people of India face a lot of problems becoz of taxes, the government who full  fill it.",,,,,,,,,,,,,,,,,,,,,
0,Jaitley will ruin the country .... I am regretting why I voted bjp,,,,,,,,,,,,,,,,,,,,,
0,"Kindly remove such huge tax from food tat u takes from us. Sir we didn't see anything of all te tax we paid no roads, no hospital no securejobs, not even basic needs had huge expectation but it all failed",,,,,,,,,,,,,,,,,,,,,
0,"know about common man problem, otherwise party will suffer",,,,,,,,,,,,,,,,,,,,,
0,Making fool of indian...daily changes in gst,,,,,,,,,,,,,,,,,,,,,
0,Making public fool.,,,,,,,,,,,,,,,,,,,,,
0,Market is dead,,,,,,,,,,,,,,,,,,,,,
0,Mobile Network in India worst ....Modiji 's biggest failure... we cannot attend calls inside the residence ... Loosing business revenue .... but who cares ... India's mobile network worst .. No chance of refund also,,,,,,,,,,,,,,,,,,,,,
0,Need a good direction on G.S.T . Lots of people are suffering so take a good decision on that and don't make the people against the Gov. JAI Hind . Wishing A very great days for our Respected Prime Minister Sri. Narendra Modiji.,,,,,,,,,,,,,,,,,,,,,
0,No one is aware about how many times GST rule amend.thats the reason you are known as modern Muhammed ibnu thuklakh,,,,,,,,,,,,,,,,,,,,,
0,No one want to take bill from shopkiper now. Because if he or she take bill. They have to pay some extra tax. Mr. Primenister do u have ans of this questions .?,,,,,,,,,,,,,,,,,,,,,
0,No use  indian citizens one more time lose their money to the corporate,,,,,,,,,,,,,,,,,,,,,
0,No votes this time... Manmohan Singh was best even during recession GDP was stable we trusted Modi Ji but now everyday petrol prices r rising gas cylinder is so costly.... & small business r closing,,,,,,,,,,,,,,,,,,,,,
0,Not better for poor people perhaps you don't know,,,,,,,,,,,,,,,,,,,,,
0,Nothing simpler.,,,,,,,,,,,,,,,,,,,,,
0,"Nothing will happed sir in the economy , the things will remain same be use still u r working only for rich people think seriously and give support to those who help to generate max employment in the economy",,,,,,,,,,,,,,,,,,,,,
0,Overall govt is sucking the middle and lower class.,,,,,,,,,,,,,,,,,,,,,
0,"Pharmaceutical industry people r suffering a lot..12%,28% in food items. .120 crore people of India suffering .for MRP ..please it's a mandatory & lively hood for a person..so it's required 5% ..in medicine sector",,,,,,,,,,,,,,,,,,,,,
0,Please stop fooling Indians..,,,,,,,,,,,,,,,,,,,,,
0,Please stop taking weeds before making any decisions on Indian economy.....We are already at inflation,,,,,,,,,,,,,,,,,,,,,
0,Pls cut the Gst rate in plastic product,,,,,,,,,,,,,,,,,,,,,
0,Prime minister cheat the people. One tax one nation...where is one nation one tax...cut out the       salary of government employees...,,,,,,,,,,,,,,,,,,,,,
0,Ripping out the common man pocket is effective way ...feel shame on u guys..,,,,,,,,,,,,,,,,,,,,,
0,Shame ! Shame !!!!! u all are nothing just a mere shamefull!!!    people should boycott all politial parties ....rallies ....    people should be aware u all shits are just fooling innocents...    all party one and same ...    we know all are corrupt u make a biggest fool of people     u r playing with the sentiments of people ...you are the most nasty one    i appeal no vote for bjp...i was the one who voted for u and have done lot of prachar for u    but u spoiled our economy     jobs of poor has gone    shameful deed ...unplanned moves,,,,,,,,,,,,,,,,,,,,,
0,Shame shame,,,,,,,,,,,,,,,,,,,,,
0,Shame shame for GST  murda k kafan pr GST  Naukari doge nhi aur   Kamane khane b nhi   Only janta ka pet kato   Aur money nikalo janta se,,,,,,,,,,,,,,,,,,,,,
0,Sir .. do some thing for AAM ADAMI other wise you will not return in 2019,,,,,,,,,,,,,,,,,,,,,
0,Sir ..... Why two wheeler byk's insurance is under GST & petrol is not under GST???You & your government don't understand the problems of the common people ..... Please think about it Sir.....,,,,,,,,,,,,,,,,,,,,,
0,Sir look at tolls tax were we have to waste so much of time and money just to pay toll sometime it take hrs to just pass the toll. We're so mush of fuel can be saved.,,,,,,,,,,,,,,,,,,,,,
0,Sir u ruined our country,,,,,,,,,,,,,,,,,,,,,
0,Sir you disappointed whole nation  no any effect can be seen of demonatization and GST broke the backbone of business from yesterday in Maharashtra regular 6hrs loadsheding was there how u show ur propogenda before elections and after elections totally a fake lollipop for all Indians#######ache din aayenge.......kabhi nahi aayenge,,,,,,,,,,,,,,,,,,,,,
0,Sir you have good intention but results are not good for market and economy. I think you should change finance min.,,,,,,,,,,,,,,,,,,,,,
0,Sir your gst and note ban create lot of pain to business pls help otherwise economy won't service long all efforts get waist citizen don't interested to know global image first they want their business to be survive first,,,,,,,,,,,,,,,,,,,,,
0,"Sir, GST has already damaged economic very badly....",,,,,,,,,,,,,,,,,,,,,
0,Small traders already lost their revenue for the year 2017-18 ...,,,,,,,,,,,,,,,,,,,,,
0,Still its high for small shop keepers. Who dnt even afford cas fee..,,,,,,,,,,,,,,,,,,,,,
0,"Still not a simple tax for small business. Since non registered category of below  Rs. 20  lakhs slab is not applicable for interstate business, those are doing interstate sales and services with annual turnover below Rs. 20 lakhs all are affected. Please remove this clause and make it Rs. 20 lakhs slabs is available for interstate sales or supply also.",,,,,,,,,,,,,,,,,,,,,
0,Still not received any benefit 😒😒😞,,,,,,,,,,,,,,,,,,,,,
0,Teach yourself to do proper surveys before loading poor and middle class and  with unjustified burden.,,,,,,,,,,,,,,,,,,,,,
0,This government does not know how to rule. First they implement anything without discussion or plan and without listening to anybody.. Then when it backfires they keep on changing the rules and in process creating more chaos.,,,,,,,,,,,,,,,,,,,,,
0,This govt need to do favour for public.  But in general peoples are suffering sir.  Kindly do the needful for general public. For that purpose only peoples mandate for only Modiji.  Not for Jaitely.  He is not a good finance minister for ur cabinet.,,,,,,,,,,,,,,,,,,,,,
0,"This is not the time for doing practicals and playing with economy ...and you are doing this   This called dictatorship .   I know how eligible he is to take care of economy . Do you know ca is charging 5000 monthly to submit returns on monthly basis they are selling plans of 3months .6months like that you made every thing harder and taking this proud nation to darkness .because of major failures like demonetisation   GST, and other blunders you did it really hurts the economy .  You is that only person who said “GST WONT WORK ITS A BLUNDER FOR ECONOMY .”  Now when you are in power you said that its good beacuse congress takes. 14% and you take 12,18,28,and more taxes rate .",,,,,,,,,,,,,,,,,,,,,
0,"time for serious thinking mr.PM...common ppl are not happy with government performance.....coz nothing has changed in their day to day life except color of notes.....ur gov failed on issues like Black money,demonetization,price hike of petrol n gas,GST...",,,,,,,,,,,,,,,,,,,,,
0,Total fail GST Sir,,,,,,,,,,,,,,,,,,,,,
0,"Truly not happy with the reactive approach of government. What was the need of passing GST. Same with the case of demonetisation, everyday new rules were being introduced.    High time this government looks to increase the tax net rather than taxing the salaried masses. One of the most exploited and harassed class under which jobs growth has decreased tremendously in the past three years.  #silentaxpayer",,,,,,,,,,,,,,,,,,,,,
0,Trust lost,,,,,,,,,,,,,,,,,,,,,
0,Very bad gst,,,,,,,,,,,,,,,,,,,,,
0,We are already paying so much tax. Still u have put GST. This what the aache Din we are facing. Shame on u. U should go immediately as pm. Otherwise we will face much more problems further.,,,,,,,,,,,,,,,,,,,,,
0,We are not happy with your ideas .Pls think 1000 times to implement an idea.I mainly suggest BJP government to support poor people and back bone of India i.e farmers not the corporate world,,,,,,,,,,,,,,,,,,,,,
0,We are very much confused after gst there should be some work shop for retailers at lower level,,,,,,,,,,,,,,,,,,,,,
0,"We knew it , more revenue to government , less tax burden on people",,,,,,,,,,,,,,,,,,,,,
0,We need roads and medical facilities...,,,,,,,,,,,,,,,,,,,,,
0,"We paid taxes but still we see worst basic emunites ...  Why we need to pay swacha Bharath  tax ?  You are earning lakhs crores of money in coal blocks allocation and in petroleum , Spectrum, getting in taxes from states .    Seen many statement we saved these many crores     Did previously govt imposed swatch Bharath tax    You have promises many things in Andhra Pradesh ...now nothing has delivered to State by BJP    promises made in parliament by PM has value or not ?",,,,,,,,,,,,,,,,,,,,,
0,We really not vote next bjp party because we lost somany rights,,,,,,,,,,,,,,,,,,,,,
0,We require at least 10 times more simpler than current form.,,,,,,,,,,,,,,,,,,,,,
0,We small business owners  r fed up of gst..  Really a mess..,,,,,,,,,,,,,,,,,,,,,
0,"We want our past days ......n't ur "" अच्छे दिन """,,,,,,,,,,,,,,,,,,,,,
0,We youths are really loosing hope from your side....  Show us what you were in 2014 ....,,,,,,,,,,,,,,,,,,,,,
0,Worst,,,,,,,,,,,,,,,,,,,,,
0,Worst and waste government nothing good in country,,,,,,,,,,,,,,,,,,,,,
0,Worst FM ever,,,,,,,,,,,,,,,,,,,,,
0,You all politicians just making fool of innocent people..... Shame on you 😠😠😠😠,,,,,,,,,,,,,,,,,,,,,
0,"You are  fuking useless primeministor in india, you only visting the other countries for your enjoyment and take care of the rich people only..",,,,,,,,,,,,,,,,,,,,,
0,You are killing the middle class job holders how long will you and your amit shah cheat the public,,,,,,,,,,,,,,,,,,,,,
0,You are not doing good use GST only for first Point sale . Don't use for retailers  otherwise you will be become history very soon.,,,,,,,,,,,,,,,,,,,,,
0,You are one big liar. Don't speak just do your work. If you start to do some work we will know and elect you again so shut up do your job,,,,,,,,,,,,,,,,,,,,,
0,You are simply fooling bcoz you good orator,,,,,,,,,,,,,,,,,,,,,
0,You have increased the burden of tax on mango people. Your government’s decision lead to failure in controlling the economy.    Think what did u promise 3.5 years back ?,,,,,,,,,,,,,,,,,,,,,
0,You think poor people are thieves,,,,,,,,,,,,,,,,,,,,,
0,"Your Campaign is really good, No doubt for that, But in real truth if you like at the price of any product those really going very high and it is affordable to consumers and ordinary people, this is good for only business man hence make the necessary changes....",,,,,,,,,,,,,,,,,,,,,
